Código Departamento,Código Municipio,Nombre Departamento,Nombre Municipio
91,91407,Amazonas,La Pedrera
91,91001,Amazonas,Leticia
91,91540,Amazonas,Puerto Nariño
91,91669,Amazonas,Puerto Santander
91,91798,Amazonas,Tarapacá
91,91536,Amazonas,Puerto Arica
91,91405,Amazonas,La Chorrera
91,91460,Amazonas,Mirití Paraná
91,91530,Amazonas,Puerto Alegría
91,91430,Amazonas,La Victoria
91,91263,Amazonas,El Encanto
05,5002,Antioquia,Abejorral
05,5004,Antioquia,Abriaquí
05,5021,Antioquia,Alejandría
05,5030,Antioquia,Amagá
05,5031,Antioquia,Amalfi
05,5034,Antioquia,Andes
05,5036,Antioquia,Angelópolis
05,5038,Antioquia,Angostura
05,5040,Antioquia,Anorí
05,5044,Antioquia,Anzá
05,5045,Antioquia,Apartadó
05,5051,Antioquia,Arboletes
05,5055,Antioquia,Argelia
05,5059,Antioquia,Armenia
05,5079,Antioquia,Barbosa
05,5088,Antioquia,Bello
05,5086,Antioquia,Belmira
05,5091,Antioquia,Betania
05,5093,Antioquia,Betulia
05,5107,Antioquia,Briceño
05,5113,Antioquia,Buriticá
05,5120,Antioquia,Cáceres
05,5125,Antioquia,Caicedo
05,5129,Antioquia,Caldas
05,5134,Antioquia,Campamento
05,5138,Antioquia,Cañasgordas
05,5142,Antioquia,Caracolí
05,5145,Antioquia,Caramanta
05,5147,Antioquia,Carepa
05,5150,Antioquia,Carolina
05,5154,Antioquia,Caucasia
05,5172,Antioquia,Chigorodó
05,5190,Antioquia,Cisneros
05,5197,Antioquia,Cocorná
05,5206,Antioquia,Concepción
05,5209,Antioquia,Concordia
05,5212,Antioquia,Copacabana
05,5234,Antioquia,Dabeiba
05,5237,Antioquia,Donmatías
05,5240,Antioquia,Ebéjico
05,5264,Antioquia,Entrerríos
05,5266,Antioquia,Envigado
05,5282,Antioquia,Fredonia
05,5284,Antioquia,Frontino
05,5306,Antioquia,Giraldo
05,5308,Antioquia,Girardota
05,5313,Antioquia,Granada
05,5315,Antioquia,Guadalupe
05,5318,Antioquia,Guarne
05,5321,Antioquia,Guatapé
05,5347,Antioquia,Heliconia
05,5353,Antioquia,Hispania
05,5360,Antioquia,Itagüí
05,5361,Antioquia,Ituango
05,5364,Antioquia,Jardín
05,5368,Antioquia,Jericó
05,5390,Antioquia,La Pintada
05,5400,Antioquia,La Unión
05,5411,Antioquia,Liborina
05,5425,Antioquia,Maceo
05,5440,Antioquia,Marinilla
05,5001,Antioquia,Medellín
05,5467,Antioquia,Montebello
05,5475,Antioquia,Murindó
05,5480,Antioquia,Mutatá
05,5483,Antioquia,Nariño
05,5495,Antioquia,Nechí
05,5490,Antioquia,Necoclí
05,5501,Antioquia,Olaya
05,5541,Antioquia,Peñol
05,5543,Antioquia,Peque
05,5576,Antioquia,Pueblorrico
05,5604,Antioquia,Remedios
05,5607,Antioquia,Retiro
05,5591,Antioquia,Puerto Triunfo
05,5615,Antioquia,Rionegro
05,5628,Antioquia,Sabanalarga
05,5631,Antioquia,Sabaneta
05,5642,Antioquia,Salgar
05,5649,Antioquia,San Carlos
05,5658,Antioquia,San José la Montaña
05,5659,Antioquia,San Juan de Urabá
05,5736,Antioquia,Segovia
05,5690,Antioquia,Santo Domingo
05,5674,Antioquia,San Vicente Ferrer
05,5756,Antioquia,Sonsón
05,5761,Antioquia,Sopetrán
05,5789,Antioquia,Támesis
05,5790,Antioquia,Tarazá
05,5792,Antioquia,Tarso
05,5809,Antioquia,Titiribí
05,5819,Antioquia,Toledo
05,5837,Antioquia,Turbo
05,5842,Antioquia,Uramita
05,5847,Antioquia,Urrao
05,5854,Antioquia,Valdivia
05,5856,Antioquia,Valparaíso
05,5858,Antioquia,Vegachí
05,5861,Antioquia,Venecia
05,5873,Antioquia,Vigía del Fuerte
05,5885,Antioquia,Yalí
05,5887,Antioquia,Yarumal
05,5890,Antioquia,Yolombó
05,5893,Antioquia,Yondó
05,5895,Antioquia,Zaragoza
05,5101,Antioquia,Ciudad Bolívar
05,5665,Antioquia,San Pedro de Urabá
05,5310,Antioquia,Gómez Plata
05,5376,Antioquia,La Ceja
05,5579,Antioquia,Puerto Berrío
05,5380,Antioquia,La Estrella
05,5585,Antioquia,Puerto Nare
05,5647,Antioquia,San Andrés de Cuerquía
05,5660,Antioquia,San Luis
05,5664,Antioquia,San Pedro los Milagros
05,5670,Antioquia,San Roque
05,5652,Antioquia,San Francisco
05,5042,Antioquia,Santa Fé de Antioquia
05,5679,Antioquia,Santa Bárbara
05,5656,Antioquia,San Jerónimo
05,5667,Antioquia,San Rafael
05,5686,Antioquia,Santa Rosa de Osos
05,5250,Antioquia,El Bagre
05,5148,Antioquia,El Carmen de Viboral
05,5697,Antioquia,El Santuario
81,81001,Arauca,Arauca
81,81065,Arauca,Arauquita
81,81300,Arauca,Fortul
81,81591,Arauca,Puerto Rondón
81,81736,Arauca,Saravena
81,81794,Arauca,Tame
81,81220,Arauca,Cravo Norte
88,88564,San Andrés y Providencia,Providencia
88,88001,San Andrés y Providencia,San Andrés
08,8078,Atlántico,Baranoa
08,8001,Atlántico,Barranquilla
08,8141,Atlántico,Candelaria
08,8296,Atlántico,Galapa
08,8421,Atlántico,Luruaco
08,8433,Atlántico,Malambo
08,8436,Atlántico,Manatí
08,8549,Atlántico,Piojó
08,8558,Atlántico,Polonuevo
08,8560,Atlántico,Ponedera
08,8606,Atlántico,Repelón
08,8634,Atlántico,Sabanagrande
08,8638,Atlántico,Sabanalarga
08,8685,Atlántico,Santo Tomás
08,8758,Atlántico,Soledad
08,8770,Atlántico,Suan
08,8832,Atlántico,Tubará
08,8849,Atlántico,Usiacurí
08,8137,Atlántico,Campo de la Cruz
08,8675,Atlántico,Santa Lucía
08,8372,Atlántico,Juan de Acosta
08,8520,Atlántico,Palmar de Varela
08,8573,Atlántico,Puerto Colombia
11,11001,Bogotá D.C,Bogotá D.C
13,13006,Bolívar,Achí
13,13042,Bolívar,Arenal
13,13052,Bolívar,Arjona
13,13062,Bolívar,Arroyohondo
13,13140,Bolívar,Calamar
13,13160,Bolívar,Cantagallo
13,13188,Bolívar,Cicuco
13,13222,Bolívar,Clemencia
13,13212,Bolívar,Córdoba
13,13430,Bolívar,Magangué
13,13433,Bolívar,Mahates
13,13440,Bolívar,Margarita
13,13468,Bolívar,Mompós
13,13458,Bolívar,Montecristo
13,13473,Bolívar,Morales
