Codigo,Nombre
05000,DIRECCION DEPARTAMENTAL DE ANTIOQUIA
05001,DIRECCION DE SALUD DE MEDELLIN
05002,DIRECCION MUNICIPAL DE SALUD DE ABEJORRAL
05004,DIRECCION MUNICIPAL DE ABRIAQUI
05021,DIRECCION MUNICIPAL DE SALUD DE ALEJANDRIA
05030,DIRECCION MUNICIPAL DE SALUD DE AMAGA
05031,DIRECCION MUNICIPAL DE SALUD DE AMALFI
05034,DIRECCION MUNICIPAL DE SALUD DE ANDES
05036,DIRECCION MUNICIPAL DE SALUD DE ANGELOPOLIS
05038,DIRECCION MUNICIPAL DE SALUD DE ANGOSTURA
05040,DIRECCION MUNICIPAL DE SALUD DE ANORI
05042,DIRECCION MUNICIPAL DE SALUD DE SANTAFE DE ANTIOQUIA
05044,DIRECCION MUNICIPAL DE SALUD DE ANZA
05045,DIRECCION MUNICIPAL DE SALUD DE APARTADO
05051,DIRECCION MUNICIPAL DE SALUD DE ARBOLETES
05055,DIRECCION MUNICIPAL DE SALUD DE ARGELIA
05059,DIRECCION MUNICIPAL DE SALUD DE ARMENIA
05079,DIRECCION MUNICIPAL DE SALUD DE BARBOSA
05086,DIRECCION MUNICIPAL DE SALUD DE BELMIRA
05088,DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA
05091,DIRECCION MUNICIPAL DE SALUD DE BETANIA
05093,DIRECCION MUNICIPAL DE SALUD DE BETULIA
05101,DIRECCION MUNICIPAL DE SALUD DE CIUDAD BOLIVAR
05107,DIRECCION MUNICIPAL DE SALUD DE BRICEÑO
05113,DIRECCION MUNICIPAL DE SALUD DE BURITICA
05120,DIRECCION MUNICIPAL DE SALUD DE CACERES
05125,DIRECCION MUNICIPAL DE SALUD DE CAICEDO
05129,DIRECCION MUNICIPAL DE SALUD DE CALDAS
05134,DIRECCION MUNICIPAL DE SALUD DE CAMPAMENTO
05138,DIRECCION MUNICIPAL DE SALUD DE CAÑASGORDAS
05142,DIRECCION MUNICIPAL DE SALUD DE CARACOLI
05145,DIRECCION MUNICIPAL DE SALUD DE CARAMANTA
05147,DIRECCION MUNICIPAL DE SALUD DE CAREPA
05148,DIRECCION MUNICIPAL DE SALUD DE CARMEN DE VIBORAL
05150,DIRECCION MUNICIPAL DE SALUD DE CAROLINA
05154,DIRECCION MUNICIPAL DE SALUD DE CAUCASIA
05172,DIRECCION MUNICIPAL DE SALUD DE CHIGORODO
05190,DIRECCION MUNICIPAL DE SALUD DE CISNEROS
05197,DIRECCION MUNICIPAL DE SALUD DE COCORNA
05206,DIRECCION MUNICIPAL DE SALUD DE CONCEPCION
05209,DIRECCION MUNICIPAL DE SALUD DE CONCORDIA
05212,DIRECCION MUNICIPAL DE SALUD DE COPACABANA
05234,DIRECCION MUNICIPAL DE SALUD DE DABEIBA
05237,DIRECCION MUNICIPAL DE SALUD DE DON MATIAS
05240,DIRECCION MUNICIPAL DE SALUD DE EBEJICO
05250,DIRECCION MUNICIPAL DE SALUD DE EL BAGRE
05264,DIRECCION MUNICIPAL DE SALUD DE ENTRERRIOS
05266,DIRECCION LOCAL DE SALUD DE ENVIGADO
